+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| CUUR0000SA0 | 2008 |  M13   | 215.303 |           |
| CUUR0000SA0 | 2008 |  M12   | 210.228 |           |
| CUUR0000SA0 | 2008 |  M11   | 212.425 |           |
| CUUR0000SA0 | 2008 |  M10   | 216.573 |           |
| CUUR0000SA0 | 2008 |  M09   | 218.783 |           |
| CUUR0000SA0 | 2008 |  M08   | 219.086 |           |
| CUUR0000SA0 | 2008 |  M07   | 219.964 |           |
| CUUR0000SA0 | 2008 |  M06   | 218.815 |           |
| CUUR0000SA0 | 2008 |  M05   | 216.632 |           |
| CUUR0000SA0 | 2008 |  M04   | 214.823 |           |
| CUUR0000SA0 | 2008 |  M03   | 213.528 |           |
| CUUR0000SA0 | 2008 |  M02   | 211.693 |           |
| CUUR0000SA0 | 2008 |  M01   | 211.080 |           |
| CUUR0000SA0 | 2007 |  M13   | 207.342 |           |
| CUUR0000SA0 | 2007 |  M12   | 210.036 |           |
| CUUR0000SA0 | 2007 |  M11   | 210.177 |           |
| CUUR0000SA0 | 2007 |  M10   | 208.936 |           |
| CUUR0000SA0 | 2007 |  M09   | 208.490 |           |
| CUUR0000SA0 | 2007 |  M08   | 207.917 |           |
| CUUR0000SA0 | 2007 |  M07   | 208.299 |           |
| CUUR0000SA0 | 2007 |  M06   | 208.352 |           |
| CUUR0000SA0 | 2007 |  M05   | 207.949 |           |
| CUUR0000SA0 | 2007 |  M04   | 206.686 |           |
| CUUR0000SA0 | 2007 |  M03   | 205.352 |           |
| CUUR0000SA0 | 2007 |  M02   | 203.499 |           |
| CUUR0000SA0 | 2007 |  M01   | 202.416 |           |
| CUUR0000SA0 | 2006 |  M13   |  201.6  |           |
| CUUR0000SA0 | 2006 |  M12   |  201.8  |           |
| CUUR0000SA0 | 2006 |  M11   |  201.5  |           |
| CUUR0000SA0 | 2006 |  M10   |  201.8  |           |
| CUUR0000SA0 | 2006 |  M09   |  202.9  |           |
| CUUR0000SA0 | 2006 |  M08   |  203.9  |           |
| CUUR0000SA0 | 2006 |  M07   |  203.5  |           |
| CUUR0000SA0 | 2006 |  M06   |  202.9  |           |
