DATE,DTCTLVEUANQ
2008-01-01,17062.62
2008-04-01,17095.87
2008-07-01,16963.08
2008-10-01,16947.01
2009-01-01,15980.77
2009-04-01,16325.71
2009-07-01,16605.10
2009-10-01,17202.48
2010-01-01,16605.03
2010-04-01,17134.24
2010-07-01,17107.14
2010-10-01,17430.35
2011-01-01,16634.44
2011-04-01,17334.81
2011-07-01,17382.53
2011-10-01,17011.24
2012-01-01,16427.10
2012-04-01,16972.35
2012-07-01,17008.30
2012-10-01,17200.90
2013-01-01,16794.59
2013-04-01,17278.50
2013-07-01,17167.70
2013-10-01,17161.96
2014-01-01,16946.11
2014-04-01,17147.02
2014-07-01,17654.10
2014-10-01,17305.00
2015-01-01,16760.11
2015-04-01,16963.10
2015-07-01,17248.32
2015-10-01,16938.00
2016-01-01,16670.42
2016-04-01,16746.94
2016-07-01,17241.59
2016-10-01,17520.91
2017-01-01,17179.99
2017-04-01,17077.61
2017-07-01,17321.04
2017-10-01,17459.53
2018-01-01,17307.45
2018-04-01,17554.39
2018-07-01,18211.08
2018-10-01,18430.7
2019-01-01,18100.25
2019-04-01,18118.95
2019-07-01,18671.76
2019-10-01,18877.31
2020-01-01,18985.49
2020-04-01,19008.78
2020-07-01,19910.44
2020-10-01,20641.16
2021-01-01,20452.38
2021-04-01,20813.04
2021-07-01,23247.63
2021-10-01,24319.49
2022-01-01,24823.07
2022-04-01,24997.55
2022-07-01,25401.15
2022-10-01,24908.59
2023-01-01,23537.12
2023-04-01,23723.96
2023-07-01,24597.67
