DATE,RIELPCFAUNQ
2008-01-01,12.08
2008-04-01,10.63
2008-07-01,10.62
2008-10-01,10.33
2009-01-01,10.37
2009-04-01,10.06
2009-07-01,10.33
2009-10-01,10.79
2010-01-01,11.5
2010-04-01,10.69
2010-07-01,10.92
2010-10-01,10.45
2011-01-01,11.54
2011-04-01,11.10
2011-07-01,11.41
2011-10-01,12.03
2012-01-01,12.62
2012-04-01,12.6
2012-07-01,12.6
2012-10-01,11.84
2013-01-01,12.6
2013-04-01,12.69
2013-07-01,13.24
2013-10-01,13.17
2014-01-01,13.62
2014-04-01,13.49
2014-07-01,13.05
2014-10-01,13.15
2015-01-01,14.22
2015-04-01,14.58
2015-07-01,13.95
2015-10-01,13.9
2016-01-01,14.44
2016-04-01,13.88
2016-07-01,12.94
2016-10-01,12.79
2017-01-01,13.34
2017-04-01,13.7
2017-07-01,13.35
2017-10-01,13.5
2018-01-01,14.21
2018-04-01,14.29
2018-07-01,13.8
2018-10-01,14.25
2019-01-01,15.07
2019-04-01,15.06
2019-07-01,14.58
2019-10-01,14.17
2020-01-01,14.31
2020-04-01,14.23
2020-07-01,12.69
2020-10-01,12.99
2021-01-01,13.58
2021-04-01,14.03
2021-07-01,13.1
2021-10-01,13.2
2022-01-01,13.45
2022-04-01,14.08
2022-07-01,14.38
2022-10-01,14.78
2023-01-01,15.7
2023-04-01,16.02
2023-07-01,15.39
