DATE,DTCTLVEUMNQ
2008-01-01,58.98
2008-04-01,57.92
2008-07-01,57.79
2008-10-01,56.27
2009-01-01,54.83
2009-04-01,54.98
2009-07-01,55.46
2009-10-01,56.46
2010-01-01,56.30
2010-04-01,56.61
2010-07-01,56.80
2010-10-01,56.15
2011-01-01,55.45
2011-04-01,56.71
2011-07-01,57.08
2011-10-01,56.74
2012-01-01,55.91
2012-04-01,57.06
2012-07-01,56.93
2012-10-01,57.77
2013-01-01,57.95
2013-04-01,59.11
2013-07-01,59.41
2013-10-01,59.37
2014-01-01,58.78
2014-04-01,58.58
2014-07-01,59.69
2014-10-01,59.65
2015-01-01,59.91
2015-04-01,60.70
2015-07-01,60.92
2015-10-01,60.29
2016-01-01,60.69
2016-04-01,60.85
2016-07-01,61.15
2016-10-01,61.19
2017-01-01,61.12
2017-04-01,61.04
2017-07-01,61.25
2017-10-01,61.23
2018-01-01,61.14
2018-04-01,61.69
2018-07-01,61.86
2018-10-01,62.22
2019-01-01,62.12
2019-04-01,62.06
2019-07-01,62.73
2019-10-01,63.25
2020-01-01,63.26
2020-04-01,63.34
2020-07-01,63.66
2020-10-01,64.07
2021-01-01,64.45
2021-04-01,64.77
2021-07-01,65.37
2021-10-01,65.83
2022-01-01,66.2
2022-04-01,66.1
2022-07-01,66.19
2022-10-01,66.27
2023-01-01,65.76
2023-04-01,65.72
2023-07-01,66.38
